variable,question,label,bank,section,touchpoint,subgroup,role,scale_max,include,n_terisi,ada_di_data,scale_type,pair_key
T_H1A_32,Saya bangga menjadi nasabah bank ini dengan produk/layanan/promo yang berbeda yang tidak saya dapatkan dari bank lain - XYZ,Saya bangga menjadi nasabah bank ini dengan produk/layanan/promo yang berbeda yang tidak saya dapatkan dari bank lain,XYZ,Ringkasan,,Loyalty Driver,Loyalty Driver,6,1,1730,Ya,AGREEMENT,
T_H1A_23,Saya merasa aman menyimpan uang dan bertransaksi di bank ini - XYZ,Saya merasa aman menyimpan uang dan bertransaksi di bank ini,XYZ,Ringkasan,,Loyalty Driver,Loyalty Driver,6,1,1730,Ya,AGREEMENT,
T_H1A_29,"Saya merasa dihargai menjadi nasabah bank ini dengan layanan yang ramah, peduli, dan tidak membeda-bedakan - XYZ","Saya merasa dihargai menjadi nasabah bank ini dengan layanan yang ramah, peduli, dan tidak membeda-bedakan",XYZ,Ringkasan,,Loyalty Driver,Loyalty Driver,6,1,1730,Ya,AGREEMENT,
T_H1A_26,"Saya merasa nyaman bertransaksi dengan bank ini dengan segala fasilitas yang diberikan (sistem antrian, e-channel, mesin setor tunai) - XYZ","Saya merasa nyaman bertransaksi dengan bank ini dengan segala fasilitas yang diberikan (sistem antrian, e-channel, mesin setor tunai)",XYZ,Ringkasan,,Loyalty Driver,Loyalty Driver,6,1,1730,Ya,AGREEMENT,
T_C1B_63,Bank swasta terbesar di Indonesia - kompetitor,Bank swasta terbesar di Indonesia,Kompetitor,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,0,529,Ya,SATISFACTION,Brand Image|Kompetitor|bankswastaterbesardiindonesia|0
T_C1B_6,Bank yang digunakan banyak orang - kompetitor,Bank yang digunakan banyak orang,Kompetitor,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,0,542,Ya,SATISFACTION,Brand Image|Kompetitor|bankyangdigunakanbanyakorang|0
T_C1B_60,Bank yang dimiliki oleh negara - kompetitor,Bank yang dimiliki oleh negara,Kompetitor,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,0,533,Ya,SATISFACTION,Brand Image|Kompetitor|bankyangdimilikiolehnegara|0
T_C1B_36,Bank yang membuat saya merasa bangga karena produk/layanan/promo yang tidak saya dapatkan dari bank lain - kompetitor,Bank yang membuat saya merasa bangga karena produk/layanan/promo yang tidak saya dapatkan dari bank lain,Kompetitor,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,0,543,Ya,SATISFACTION,Brand Image|Kompetitor|bankyangmembuatsayamerasabanggakarenaproduklayananpromoyangtidaksayadapatkandaribanklain|0
T_C1B_42,Bank yang membuat saya merasa prestigious/bergengsi - kompetitor,Bank yang membuat saya merasa prestigious/bergengsi,Kompetitor,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,0,544,Ya,SATISFACTION,Brand Image|Kompetitor|bankyangmembuatsayamerasaprestigiousbergengsi|0
T_C1B_3,Bank yang terkenal/terkemuka - kompetitor,Bank yang terkenal/terkemuka,Kompetitor,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,0,544,Ya,SATISFACTION,Brand Image|Kompetitor|bankyangterkenalterkemuka|0
T_C1B_62,Bank swasta terbesar di Indonesia - XYZ,Bank swasta terbesar di Indonesia,XYZ,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,1,1688,Ya,SATISFACTION,Brand Image|XYZ|bankswastaterbesardiindonesia|0
T_C1A_21,Bank swasta terbesar di Indonesia,Bank swasta terbesar di Indonesia,XYZ,Brand Image,Brand Image,Citra & Kebanggaan,Importance,6,1,1730,Ya,IMPORTANCE,Brand Image|XYZ|bankswastaterbesardiindonesia|0
T_C1B_5,Bank yang digunakan banyak orang - XYZ,Bank yang digunakan banyak orang,XYZ,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,1,1728,Ya,SATISFACTION,Brand Image|XYZ|bankyangdigunakanbanyakorang|0
T_C1A_2,Bank yang digunakan banyak orang,Bank yang digunakan banyak orang,XYZ,Brand Image,Brand Image,Citra & Kebanggaan,Importance,6,1,1730,Ya,IMPORTANCE,Brand Image|XYZ|bankyangdigunakanbanyakorang|0
T_C1B_59,Bank yang dimiliki oleh negara - XYZ,Bank yang dimiliki oleh negara,XYZ,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,1,1720,Ya,SATISFACTION,Brand Image|XYZ|bankyangdimilikiolehnegara|0
T_C1A_20,Bank yang dimiliki oleh negara,Bank yang dimiliki oleh negara,XYZ,Brand Image,Brand Image,Citra & Kebanggaan,Importance,6,1,1730,Ya,IMPORTANCE,Brand Image|XYZ|bankyangdimilikiolehnegara|0
T_C1B_35,Bank yang membuat saya merasa bangga karena produk/layanan/promo yang tidak saya dapatkan dari bank lain - XYZ,Bank yang membuat saya merasa bangga karena produk/layanan/promo yang tidak saya dapatkan dari bank lain,XYZ,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,1,1722,Ya,SATISFACTION,Brand Image|XYZ|bankyangmembuatsayamerasabanggakarenaproduklayananpromoyangtidaksayadapatkandaribanklain|0
T_C1A_12,Bank yang membuat saya merasa bangga karena produk/layanan/promo yang tidak saya dapatkan dari bank lain,Bank yang membuat saya merasa bangga karena produk/layanan/promo yang tidak saya dapatkan dari bank lain,XYZ,Brand Image,Brand Image,Citra & Kebanggaan,Importance,6,1,1730,Ya,IMPORTANCE,Brand Image|XYZ|bankyangmembuatsayamerasabanggakarenaproduklayananpromoyangtidaksayadapatkandaribanklain|0
T_C1B_41,Bank yang membuat saya merasa prestigious/bergengsi - XYZ,Bank yang membuat saya merasa prestigious/bergengsi,XYZ,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,1,1726,Ya,SATISFACTION,Brand Image|XYZ|bankyangmembuatsayamerasaprestigiousbergengsi|0
T_C1A_14,Bank yang membuat saya merasa prestigious/bergengsi,Bank yang membuat saya merasa prestigious/bergengsi,XYZ,Brand Image,Brand Image,Citra & Kebanggaan,Importance,6,1,1730,Ya,IMPORTANCE,Brand Image|XYZ|bankyangmembuatsayamerasaprestigiousbergengsi|0
T_C1B_2,Bank yang terkenal/terkemuka - XYZ,Bank yang terkenal/terkemuka,XYZ,Brand Image,Brand Image,Citra & Kebanggaan,Atribut,6,1,1728,Ya,SATISFACTION,Brand Image|XYZ|bankyangterkenalterkemuka|0
T_C1A_1,Bank yang terkenal/terkemuka,Bank yang terkenal/terkemuka,XYZ,Brand Image,Brand Image,Citra & Kebanggaan,Importance,6,1,1730,Ya,IMPORTANCE,Brand Image|XYZ|bankyangterkenalterkemuka|0
T_C1B_51,Bank yang memberikan banyak kemudahan - kompetitor,Bank yang memberikan banyak kemudahan,Kompetitor,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,0,543,Ya,SATISFACTION,Brand Image|Kompetitor|bankyangmemberikanbanyakkemudahan|0
T_C1B_45,Bank yang memberikan kemudahan untuk bertransaksi dimanapun dan kapanpun - kompetitor,Bank yang memberikan kemudahan untuk bertransaksi dimanapun dan kapanpun,Kompetitor,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,0,545,Ya,SATISFACTION,Brand Image|Kompetitor|bankyangmemberikankemudahanuntukbertransaksidimanapundankapanpun|0
T_C1B_15,Bank yang memiliki banyak ATM - kompetitor,Bank yang memiliki banyak ATM,Kompetitor,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,0,542,Ya,SATISFACTION,Brand Image|Kompetitor|bankyangmemilikibanyakatm|0
T_C1B_18,Bank yang memiliki banyak kantor cabang - kompetitor,Bank yang memiliki banyak kantor cabang,Kompetitor,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,0,545,Ya,SATISFACTION,Brand Image|Kompetitor|bankyangmemilikibanyakkantorcabang|0
T_C1B_48,Bank yang mempermudah bisnis saya - kompetitor,Bank yang mempermudah bisnis saya,Kompetitor,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,0,543,Ya,SATISFACTION,Brand Image|Kompetitor|bankyangmempermudahbisnissaya|0
T_C1B_57,Bank yang selalu menggunakan teknologi terbaru - kompetitor,Bank yang selalu menggunakan teknologi terbaru,Kompetitor,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,0,542,Ya,SATISFACTION,Brand Image|Kompetitor|bankyangselalumenggunakanteknologiterbaru|0
T_C1B_69,"Memiliki fitur transaksi di e-channel lengkap (ATM, mobile banking, internet banking) lengkap - kompetitor","Memiliki fitur transaksi di e-channel lengkap (ATM, mobile banking, internet banking) lengkap",Kompetitor,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,0,544,Ya,SATISFACTION,Brand Image|Kompetitor|memilikifiturtransaksidiechannellengkapatmmobilebankinginternetbankinglengkap|0
T_C1B_30,"Menyediakan banyak channel (call center, sms, email, dsb) untuk nasabah menyampaikan keluhan/saran - kompetitor","Menyediakan banyak channel (call center, sms, email, dsb) untuk nasabah menyampaikan keluhan/saran",Kompetitor,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,0,543,Ya,SATISFACTION,Brand Image|Kompetitor|menyediakanbanyakchannelcallcentersmsemaildsbuntuknasabahmenyampaikankeluhansaran|0
T_C1B_27,Menyediakan layanan online terkait dengan informasi produk - kompetitor,Menyediakan layanan online terkait dengan informasi produk,Kompetitor,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,0,544,Ya,SATISFACTION,Brand Image|Kompetitor|menyediakanlayananonlineterkaitdenganinformasiproduk|0
T_C1B_50,Bank yang memberikan banyak kemudahan - XYZ,Bank yang memberikan banyak kemudahan,XYZ,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,1,1727,Ya,SATISFACTION,Brand Image|XYZ|bankyangmemberikanbanyakkemudahan|0
T_C1A_17,Bank yang memberikan banyak kemudahan,Bank yang memberikan banyak kemudahan,XYZ,Brand Image,Brand Image,Kemudahan & Teknologi,Importance,6,1,1730,Ya,IMPORTANCE,Brand Image|XYZ|bankyangmemberikanbanyakkemudahan|0
T_C1B_44,Bank yang memberikan kemudahan untuk bertransaksi dimanapun dan kapanpun - XYZ,Bank yang memberikan kemudahan untuk bertransaksi dimanapun dan kapanpun,XYZ,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,1,1729,Ya,SATISFACTION,Brand Image|XYZ|bankyangmemberikankemudahanuntukbertransaksidimanapundankapanpun|0
T_C1A_15,Bank yang memberikan kemudahan untuk bertransaksi dimanapun dan kapanpun,Bank yang memberikan kemudahan untuk bertransaksi dimanapun dan kapanpun,XYZ,Brand Image,Brand Image,Kemudahan & Teknologi,Importance,6,1,1730,Ya,IMPORTANCE,Brand Image|XYZ|bankyangmemberikankemudahanuntukbertransaksidimanapundankapanpun|0
T_C1B_14,Bank yang memiliki banyak ATM - XYZ,Bank yang memiliki banyak ATM,XYZ,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,1,1722,Ya,SATISFACTION,Brand Image|XYZ|bankyangmemilikibanyakatm|0
T_C1A_5,Bank yang memiliki banyak ATM,Bank yang memiliki banyak ATM,XYZ,Brand Image,Brand Image,Kemudahan & Teknologi,Importance,6,1,1730,Ya,IMPORTANCE,Brand Image|XYZ|bankyangmemilikibanyakatm|0
T_C1B_17,Bank yang memiliki banyak kantor cabang - XYZ,Bank yang memiliki banyak kantor cabang,XYZ,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,1,1724,Ya,SATISFACTION,Brand Image|XYZ|bankyangmemilikibanyakkantorcabang|0
T_C1A_6,Bank yang memiliki banyak kantor cabang,Bank yang memiliki banyak kantor cabang,XYZ,Brand Image,Brand Image,Kemudahan & Teknologi,Importance,6,1,1730,Ya,IMPORTANCE,Brand Image|XYZ|bankyangmemilikibanyakkantorcabang|0
T_C1B_47,Bank yang mempermudah bisnis saya - XYZ,Bank yang mempermudah bisnis saya,XYZ,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,1,1726,Ya,SATISFACTION,Brand Image|XYZ|bankyangmempermudahbisnissaya|0
T_C1A_16,Bank yang mempermudah bisnis saya,Bank yang mempermudah bisnis saya,XYZ,Brand Image,Brand Image,Kemudahan & Teknologi,Importance,6,1,1730,Ya,IMPORTANCE,Brand Image|XYZ|bankyangmempermudahbisnissaya|0
T_C1B_56,Bank yang selalu menggunakan teknologi terbaru - XYZ,Bank yang selalu menggunakan teknologi terbaru,XYZ,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,1,1728,Ya,SATISFACTION,Brand Image|XYZ|bankyangselalumenggunakanteknologiterbaru|0
T_C1A_19,Bank yang selalu menggunakan teknologi terbaru,Bank yang selalu menggunakan teknologi terbaru,XYZ,Brand Image,Brand Image,Kemudahan & Teknologi,Importance,6,1,1730,Ya,IMPORTANCE,Brand Image|XYZ|bankyangselalumenggunakanteknologiterbaru|0
T_C1B_68,"Memiliki fitur transaksi di e-channel lengkap (ATM, mobile banking, internet banking) lengkap - XYZ","Memiliki fitur transaksi di e-channel lengkap (ATM, mobile banking, internet banking) lengkap",XYZ,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,1,1729,Ya,SATISFACTION,Brand Image|XYZ|memilikifiturtransaksidiechannellengkapatmmobilebankinginternetbankinglengkap|0
T_C1A_23,"Memiliki fitur transaksi di e-channel lengkap (ATM, mobile banking, internet banking) lengkap","Memiliki fitur transaksi di e-channel lengkap (ATM, mobile banking, internet banking) lengkap",XYZ,Brand Image,Brand Image,Kemudahan & Teknologi,Importance,6,1,1730,Ya,IMPORTANCE,Brand Image|XYZ|memilikifiturtransaksidiechannellengkapatmmobilebankinginternetbankinglengkap|0
T_C1B_29,"Menyediakan banyak channel (call center, sms, email, dsb) untuk nasabah menyampaikan keluhan/saran - XYZ","Menyediakan banyak channel (call center, sms, email, dsb) untuk nasabah menyampaikan keluhan/saran",XYZ,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,1,1727,Ya,SATISFACTION,Brand Image|XYZ|menyediakanbanyakchannelcallcentersmsemaildsbuntuknasabahmenyampaikankeluhansaran|0
T_C1A_10,"Menyediakan banyak channel (call center, sms, email, dsb) untuk nasabah menyampaikan keluhan/saran","Menyediakan banyak channel (call center, sms, email, dsb) untuk nasabah menyampaikan keluhan/saran",XYZ,Brand Image,Brand Image,Kemudahan & Teknologi,Importance,6,1,1730,Ya,IMPORTANCE,Brand Image|XYZ|menyediakanbanyakchannelcallcentersmsemaildsbuntuknasabahmenyampaikankeluhansaran|0
